is_blue,is_local,is_core,arpu,brand,gender,age,id_area,avg_time,avg_distance,avg_speed,n_obs,manhua_ltime,manhua_lflux,jinrongye_ltime,jinrongye_lflux,zhuti_zhuomian_ltime,zhuti_zhuomian_lflux,wuliu_kuaidi_ltime,wuliu_kuaidi_lflux,yule_zixun_ltime,yule_zixun_lflux,dongzuo_youxi_ltime,dongzuo_youxi_lflux,qiche_xinxi_ltime,qiche_xinxi_lflux,caijing_zixun_ltime,caijing_zixun_lflux,waiyu_ltime,waiyu_lflux,junshi_zixun_ltime,junshi_zixun_lflux,lvyou_chuxing_ltime,lvyou_chuxing_lflux,bangong_wenjiao_ltime,bangong_wenjiao_lflux,shouji_shuma_ltime,shouji_shuma_lflux,shequ_luntan_ltime,shequ_luntan_lflux,hunlian_jiaoyou_ltime,hunlian_jiaoyou_lflux,gongju_ruanjian_ltime,gongju_ruanjian_lflux,tuangou_dazhe_ltime,tuangou_dazhe_lflux,waimai_songcan_ltime,waimai_songcan_lflux,dache_ruanjian_ltime,dache_ruanjian_lflux,cidian_fanyi_ltime,cidian_fanyi_lflux,shejiao_wangluo_ltime,shejiao_wangluo_lflux,anquan_shadu_ltime,anquan_shadu_lflux,dianying_ltime,dianying_lflux,shouji_yuedu_ltime,shouji_yuedu_lflux,liulanqi_ltime,liulanqi_lflux,keji_zixun_ltime,keji_zixun_lflux,fuzhuang_fangzhi_ltime,fuzhuang_fangzhi_lflux,shijian_tianqi_ltime,shijian_tianqi_lflux,dianzi_zhifu_ltime,dianzi_zhifu_lflux,yiliao_jiankang_ltime,yiliao_jiankang_lflux,weizhang_chaxun_ltime,weizhang_chaxun_lflux,shouji_shipin_ltime,shouji_shipin_lflux
0,,,,,,,,920.200000000000045,14844.3999999999996,210,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,1246.55999999999995,6450.35999999999967,64.6400000000000006,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Y,Y,91,苹果,01,08,350583,275.923000000000002,2819.28200000000015,177.332999999999998,39,,,,,118,347,3385,1088,,,,,23003,198503,519,160847,,,,,38522618,829439410,,,22793,13498,,,35580,28994,91372,2618097,20936985,761498762,82633,9084751,2218514,30092425,178,10989,1549614,27986137,72312,311783,1000,198,4441868,6968706,136293,316904,,,,,205288,3199589,12369768,112169294,58042,3375646,51316,602110,49848248,4720030029
0,Y,Y,82.7000000000000028,三星,02,09,420303,735,5262.83299999999963,79.3329999999999984,6,,,,,,,562688,8556473,,,,,63780,515282,118000,2078150,,,59,397,4927252,8565429,,,1957058,2096989,3832854,485367903,31545,748,176828,2235560,6967597,310647667,3452682,164577688,325241,7930249,23687,1684810,19082647,335074432,1347027,95096,,,32645261,35329398,549436,1014842,,,,,,,20481191,127972693,41773,4309,171,448,183070344,10610467916
0,N,Y,96.2000000000000028,REALME,01,05,360731,2613.14800000000014,8750.70399999999972,24.5189999999999984,27,,,,,,,27191,12302,,,4980,435,525956,147410,14440,89607,,,,,7873470,46231739,,,490639,509560,,,681636,8328645,90342,434153,29246000,352580383,11752525,8219456,1928634,17496009,,,18135699,119942922,23497,192621,,,42483629,197062681,11970541,272448520,117337,166168,,,174230,392908,13268994,64515761,187478,13991,1,215,486825020,20244834448
0,Y,Y,137.639999999999986,苹果,01,08,350524,888.224000000000046,5343.42900000000009,254.192000000000007,156,,,,,,,671084,28866475,,,2,282,1952807,26897810,9000,2207433,,,,,4787529,215604278,,,65451,9860,,,,,263501,525824,1239961,18730139,131383,151828,1469806,69865811,456123,85350,2479750,12720479,,,,,18841868,30840479,48320,721840,186,4723,,,,,2439417,15654180,,,26211,218477,102280675,4541083449
0,N,Y,39,苹果,02,06,350181,523.340000000000032,6169.31900000000041,55.7019999999999982,47,,,,,,,,,,,,,,,,,,,,,4757,33091,,,797,2776,,,,,68,272,287290,5776710,3000,771961,324000,1043765,,,67194,165789,,,,,56303,4675957,293,3554,,,,,,,119,4565,,,,,1889019,4535728
0,N,N,16.3999999999999986,华为,01,09,350524,466.694000000000017,3747.44399999999996,383,36,,,,,,,38,447,,,,,402344,24839,,,,,,,948475,13535907,,,,,,,,,331252,4401373,527793,13597241,,,217000,10473355,,,146509,1437423,124727,217388,,,114672,5821,1082293,3918724,,,,,141,308,792335,31355633,11302,384,,,13152570,980943574
0,Y,Y,114,苹果,02,08,652301,1069.63599999999997,9037.72700000000077,30.1819999999999986,11,,,,,,,396699,39217460,,,,,,,,,,,,,343794,1613792,,,8226,2920,,,38,191,15064,358232,1684989,57193496,226000,419237,76719,4122625,,,187800,1078530,,,,,63000,574145,13831,43780,,,,,,,3784566,33061409,,,,,641751,6023071
0,Y,Y,48,苹果,02,06,230826,1833.16000000000008,20736.2799999999988,138.400000000000006,25,,,,,,,1016504,5971014,,,,,1162349,45114029,22003,2249080,,,,,3043687,101473562,,,1072,51028,,,2731,12476,450658,37167613,43348365,1840601134,2881613,70902068,1338217,22537504,460,34734,13202596,1351729624,1053,1434,20,247,18598489,134656778,481659,10083161,30214,40144,,,1,330,6981103,140434559,152863,3881526,15000,1846380,469820596,32038522954
0,Y,Y,61,苹果,02,10,350621,225.076999999999998,1417.38499999999999,162.807999999999993,26,,,,,,,28025,30991,,,0,60,274326,1989350,,,,,128,726,1451227,4414387,,,2420969,1142815,,,,,314726,19780011,11518883,488875275,11645572,189376340,1897182,18503337,225947,1043737,50870334,8948710047,3453,21419,70,317,10158255,35302361,1098797,10812666,2,278,,,,,13015976,84884624,1278312,8102489,,,256302441,20318495680
0,N,Y,63,华为,02,07,412702,220.5,696.22199999999998,56.7220000000000013,18,,,,,,,,,,,136,704,134405,121094,,,,,,,2543,9448,,,268968,292413,,,43766,34594,107941,49756,922749,8999115,2907758,148233179,351548,207363,,,3262551,4743888,128990,482782,,,114461280,372563898,3843596,7223825,,,,,7,1220,190141771,149872105,264836,308134,2,393,384003393,34378932430
0,Y,Y,71,华为,02,09,352627,553.133000000000038,4812.60000000000036,1140.59999999999991,15,,,,,,,,,,,,,429,4263,,,,,,,68,264,,,23000,492,,,,,84221,880235,370149,26566525,157574,3785813,55000,6671378,60,543,114766,110132,3474,56270,,,3169563,13592597,538936,522212,296,9567,,,,,328242,24772437,54,191,,,11116764,1337532015
0,Y,Y,48.6000000000000014,苹果,02,06,511902,1046.46199999999999,6672.82700000000023,42.5189999999999984,52,,,,,,,26611,6648,,,,,5966,387191,78,526,,,,,7114522,119351503,,,3343,7385,,,,,122632,10748264,8979675,147091603,1663682,29453148,4381831,48694289,490932,7924897,16285387,605231555,2271,9213,,,167278,20872274,76747,47607,1799,2413,,,,,2972885,44548014,635,32778,105013,3460924,9317288,204871169
0,,,,,,,,718.817999999999984,1573,293.408999999999992,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,1521.8599999999999,7798.42000000000007,60.240000000000002,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,2073.39499999999998,6280.28899999999976,98.867999999999995,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Y,Y,89,苹果,01,08,350212,1643.45700000000011,5959.17100000000028,365.370999999999981,35,,,,,,,3,702,,,,,84326,222187,,,,,,,12832921,419762001,,,2005948,645490,,,,,3285038,88111234,19487592,436983288,9650220,147630773,1992076,22748213,,,6159300,5699153,64260,21232,,,3025469,4573487,35876,30766,755,5213,,,6000,524,5227642,21325304,2008881,25361006,,,60682637,3273757916
0,N,Y,11.0299999999999994,IQOO,01,14,350429,2314,7926.6840000000002,11.4740000000000002,19,,,,,,,,,,,466024,568842,717478,58035751,2,158,,,,,52297,5959,,,2468,8579,,,,,,,517578,2896941,93523,24183772,,,,,545317,56737052,100261,113170,,,33213905,254918717,339858,40981520,2,294,,,60000,134713,74032,11397765,40595,10825,,,186480867,7198178230
0,,,,,,,,1039.82600000000002,6461.73899999999958,155,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Y,Y,317,苹果,01,09,350204,1146.625,1801.35400000000004,42.8329999999999984,48,,,,,,,,,,,,,,,,,,,,,70000,86520,,,,,,,,,,,0,394,,,131217,111310,,,9781,6147,,,,,806676,164263,,,,,,,,,,,,,,,5171509,68664626
0,Y,Y,44.8500000000000014,苹果,02,14,350204,881.573999999999955,6145.95100000000002,30.6389999999999993,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396578,2520539,4972,146806,,,,,286719,1031020,,,,,1866155,528052,14760,84642,,,,,,,,,,,,,531500,8252447
0,Y,Y,76.0400000000000063,华为,01,07,350525,1820.49399999999991,15078.3670000000002,55.7469999999999999,79,,,,,,,90968,931703,,,60002,9255,220893,11486181,15568,100132,,,,,8470127,565646962,,,217391,1176798,,,1378611,2657113,1420772,19262849,7378438,209885550,1476823,5789610,1625565,26896013,,,8822102,147349230,51787,921304,,,24152906,86051200,8398023,23589026,,,,,2495834,53646300,44960738,330694577,198324,566493,64050,24543,128380748,11895935114
0,Y,Y,131,苹果,02,07,350824,821.850999999999999,5457.9399999999996,63.8960000000000008,67,,,,,,,90469,32145,,,,,50945,972767,4067,41721,,,2000,2510,20324319,583041685,,,5869432,110902802,,,0,179,1048779,14565091,16597362,945322903,3147548,78386127,3755196,36116504,213000,115637,8287871,119258843,49056,42863,20376,379,4476314,7393333,206560,629291,3,256,,,,,5305146,54643773,92277,49667,1140,52355,114878793,4103511640
0,Y,Y,118.400000000000006,苹果,02,08,350204,498.262,2321.47499999999991,57.142000000000003,141,,,,,,,755235,17372092,,,,,889339,4695261,11173,8528146,,,,,13977147,113966652,,,89951,128270,,,14,1534,732726,2179795,25799441,847389192,13403126,127888166,6672743,74006612,,,9568390,211205979,123937,16337,,,4003619,237989024,751156,844302,7001,4165,,,1977,2717,22743562,83234451,1330909,1151175,10006,4672,66564210,1145369749
0,,,,,,,,3005.80600000000004,27546.7419999999984,64.0969999999999942,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,1261.58600000000001,5802.72400000000016,35.8969999999999985,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Y,Y,41,苹果,01,07,"""""",991.861999999999966,2972.5630000000001,114.322000000000003,87,,,,,,,,,,,,,349,3185,1381423,6008034,,,,,9693441,166785981,,,17224,22749,,,,,35183,45861,1696862,64259807,622487,257544,226911,5078272,,,737052,5530303,11940,9958,,,2016,137076,102686,28161,1,208,,,,,5348117,58877427,360,1800,56000,80424,12116026,622385839
0,Y,Y,30.3000000000000007,"""""",02,09,350824,496.791999999999973,4278.75,160.792000000000002,24,,,,,,,,,,,,,,,,,,,,,1051721,1342615,,,,,,,,,10675,217665,149001,16214894,,,775700,5394989,,,,,5,524,,,,,,,,,,,,,22937,162825,,,,,620175,503232
0,Y,Y,0.0200000000000000004,东方龙,03,16,"""""",3141.42900000000009,20551.7139999999999,40.3329999999999984,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Y,Y,101.859999999999999,欧珀,02,09,350623,1506.01099999999997,6143.37899999999991,143.568000000000012,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,4700,,,,,,,,,,,,,31000,10087,42000,4636,,,,,,,340,4257,,,,,42083,305508
0,,,,,,,,1670.78199999999993,2014.65499999999997,350.055000000000007,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Y,Y,0,华为,01,11,350206,2237.76299999999992,11748.7109999999993,67.2109999999999985,38,,,,,,,505730,1140810,,,,,1259222,29985989,15799,3543,,,,,3821377,110429263,,,47229,14118,,,676884,154364,231325,2217311,9201559,510211368,195709,59093,796880,19894375,,,536625,676091,285206,649709,,,12742134,20601256,2399327,4196151,30929,20815,,,,,2952098,3002069,30136,409554,,,61837865,5897867096
0,Y,Y,39.2000000000000028,REALME,01,05,350723,2025.02099999999996,2087.47400000000016,8.53700000000000081,95,205,776,31187,20698,,,85807,23613,,,120555,5153,4923551,1675446,1032,20701,,,,,1816007,2682251,,,5205918,3163698,,,314785,280543,5090202,355701678,61061207,1506589633,847829116,972435187,16339054,123329345,3088,27125,58411697,718526752,235872,18780458,,,164465135,530789934,1707691,6910275,16934,334339,,,441,13168,18667398,127551821,64734,181055,79165,68342,1542675879,19406022112
0,N,Y,30.1000000000000014,苹果,01,06,152630,1500,3129.27300000000014,814.817999999999984,11,,,2,270,,,1196,1420,,,2,326,151172,1122545,2022,3404,,,,,3097104,18941622,,,145,503,,,,,103157,1378426,5603043,199845155,547384,3033019,1019027,23357207,,,396022,2500023,127777,158574,,,18092682,23083628,2011,6386374,42,207,,,,,9916081,69269652,7367,2934,1000,1816,63970968,4978946827
0,Y,Y,51,三星,01,14,352622,924.317999999999984,11022.3179999999993,67.2270000000000039,22,,,,,,,,,,,,,,,,,,,,,59,403,,,,,,,,,,,49000,48145,164000,120419,,,,,188028,432172,1000,21402,,,2569091,6046270,36413,38590,295431,9226623,,,,,9249,97563,,,,,12524333,1678509247
0,,,,,,,,1309,8867.36199999999917,47.8449999999999989,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Y,Y,60.1000000000000014,苹果,02,07,231026,1149.20399999999995,2182.16699999999992,47.0930000000000035,54,,,,,,,1024,174292,,,,,76286,25975,11000,780547,,,,,2909305,25680701,,,31600,1529273,,,97,760,47534,171900,15664833,526349283,3335490,120081125,173243,12579998,,,3205489,7731009,35,151,62911,878708,7244952,6050746,73277,2913403,,,,,,,2788638,49283015,57194,322815,,,50507270,5886436630
0,Y,Y,102,"""""",02,06,350702,772.34699999999998,3943.91800000000012,72.8469999999999942,98,,,,,,,502579,10053388,,,,,59127,140286,,,,,,,1597764,26719154,,,17289,1592317,,,,,268338,2522721,19991912,1052790288,541254,11481846,1805314,30857293,,,1116176,13292492,268,10356,,,1978853,21533683,112208,636394,,,,,,,2744863,44866713,148499,1283946,,,36899807,5581189998
0,Y,Y,167.300000000000011,IQOO,01,06,412722,1659.75,4387.94899999999961,48.0069999999999979,136,,,,,,,2052108,10681359,,,120001,279590,322582,798106,65,5224,,,,,2651741,15403096,,,3012971,5497774,,,62113,27942,74079,2030628,6603524,61854772,866301563,773292294,2815442,21220863,1920,674,26353332,109109125,43911,174973,,,83861401,81561419,2082916,8482658,55963,1726166,,,34,1659,25426503,702289640,62186,20929,58,200,564287209,27108232960
0,Y,Y,28.8999999999999986,华为,01,06,350823,965.528999999999996,2510.64699999999993,19.411999999999999,17,,,,,,,,,,,,,50,152,,,,,,,305,1183,,,47,258,,,,,55,366,343914,2104470,801,7863,,,,,150312,144632,,,,,,,36520,164004,,,,,,,2000,39774,,,,,643000,59941688
0,Y,Y,12.4299999999999997,小米,01,06,513023,1,67282,242215,1,,,,,,,,,,,,,,,,,,,,,88603,151448,,,444446,477673,,,,,211021,52432,415049,15205542,,,,,,,449458,375169,,,,,1001,908,213000,16895831,,,,,,,29117,10272,,,,,2461359,145921
0,,,,,,,,1500.75399999999991,11447.9339999999993,305.081999999999994,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,174.11099999999999,304.062999999999988,37.9840000000000018,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
